talhao_id,semana,saude_solo_int,aspecto_cultura_int,umidade_solo_int,pragas_int
0,0,1,1,1,0
0,1,2,2,0,0
0,2,2,0,0,1
0,3,2,2,0,2
0,4,2,1,0,0
0,5,1,1,2,0
0,6,1,1,1,0
0,7,2,1,0,1
0,8,2,1,1,0
0,9,0,0,0,0
0,10,0,0,1,0
0,11,0,0,1,0
0,12,0,0,1,0
0,13,0,0,1,1
0,14,0,0,1,0
0,15,0,0,1,0
0,16,0,0,1,0
0,17,0,0,1,0
0,18,0,0,1,0
0,19,0,0,0,0
0,20,0,0,1,0
0,21,1,1,1,1
0,22,1,1,1,1
0,23,1,0,1,0
0,24,1,1,2,1
0,25,1,1,1,0
0,26,1,1,1,0
0,27,0,0,1,0
0,28,0,0,1,0
0,29,0,0,1,0
0,30,0,0,0,0
0,31,0,0,1,0
0,32,0,0,1,0
0,33,0,0,1,0
0,34,0,0,0,0
0,35,0,0,1,0
0,36,0,0,1,0
0,37,0,0,1,2
0,38,0,0,2,0
0,39,0,0,1,0
0,40,0,0,1,0
0,41,0,0,2,0
0,42,0,0,1,0
0,43,0,0,1,0
0,44,0,0,0,0
0,45,0,0,1,0
0,46,0,0,0,2
0,47,0,0,1,0
0,48,0,0,1,1
0,49,0,0,1,0
0,50,0,0,1,0
0,51,1,1,1,1
1,0,1,1,1,1
1,1,1,1,2,2
1,2,1,0,1,0
1,3,2,2,0,2
1,4,1,1,2,0
1,5,0,0,1,0
1,6,0,0,1,0
1,7,1,0,0,1
1,8,1,1,1,0
1,9,1,1,1,1
1,10,0,0,1,0
1,11,0,0,1,1
1,12,0,1,1,0
1,13,0,0,1,0
1,14,0,0,0,0
1,15,0,1,1,2
1,16,0,0,1,0
1,17,0,0,1,0
1,18,0,0,1,0
1,19,0,0,1,0
1,20,0,0,1,0
1,21,0,0,1,1
1,22,0,0,1,0
1,23,0,1,0,0
1,24,0,0,1,0
1,25,0,0,0,0
1,26,0,0,1,0
1,27,0,0,1,2
1,28,0,0,1,0
1,29,0,0,1,0
1,30,0,0,1,0
1,31,0,0,1,0
1,32,0,1,2,0
1,33,0,0,0,0
1,34,0,0,1,0
1,35,0,0,1,0
1,36,0,0,0,0
1,37,0,0,1,0
1,38,0,0,1,0
1,39,0,0,1,0
1,40,0,0,2,0
1,41,0,0,1,0
1,42,0,0,0,0
1,43,0,0,1,0
1,44,0,0,1,0
1,45,0,0,1,0
1,46,0,0,1,2
1,47,0,0,2,0
1,48,0,0,0,0
1,49,0,0,1,0
1,50,0,0,1,0
1,51,0,0,1,0
2,0,1,0,2,1
2,1,0,0,1,0
2,2,0,1,1,0
2,3,0,0,1,0
2,4,0,0,1,1
2,5,0,0,1,0
2,6,0,0,0,0
2,7,0,0,1,0
2,8,0,0,1,0
2,9,1,0,0,0
2,10,2,1,0,2
2,11,2,1,1,2
2,12,2,1,0,1
2,13,2,1,0,0
2,14,2,1,0,0
2,15,2,2,0,0
2,16,2,1,1,1
2,17,2,1,1,1
2,18,0,0,1,0
2,19,0,0,1,0
2,20,0,0,1,0
2,21,0,0,1,0
2,22,0,0,1,0
2,23,0,0,1,0
2,24,1,0,1,0
2,25,0,0,1,0
2,26,0,0,1,1
2,27,0,1,1,0
2,28,1,0,1,0
2,29,1,1,1,0
2,30,1,0,1,0
2,31,1,0,1,1
2,32,2,1,0,1
2,33,1,1,1,1
2,34,1,1,1,0
2,35,0,0,1,0
2,36,0,0,1,2
2,37,1,1,1,0
2,38,1,0,1,1
2,39,1,1,1,2
2,40,2,1,2,1
2,41,2,2,1,2
2,42,2,1,0,0
2,43,2,1,1,1
2,44,2,1,1,0
2,45,2,2,0,0
2,46,0,1,1,1
2,47,0,0,1,0
2,48,0,0,1,0
2,49,0,0,2,1
2,50,0,0,1,0
2,51,0,0,1,0
3,0,2,1,0,0
3,1,2,2,1,0
3,2,1,2,2,0
3,3,1,0,2,2
3,4,1,1,1,1
3,5,1,0,2,1
3,6,1,2,1,2
3,7,0,0,1,0
3,8,0,0,1,0
3,9,0,0,2,1
3,10,0,0,1,0
3,11,0,0,1,0
3,12,0,0,1,0
3,13,0,0,1,0
3,14,0,0,1,0
3,15,0,0,1,0
3,16,0,0,1,0
3,17,0,0,1,0
3,18,0,0,1,2
3,19,1,1,2,0
3,20,1,0,1,0
3,21,1,0,1,0
3,22,1,0,1,1
3,23,1,0,1,0
3,24,0,0,1,0
3,25,0,0,0,0
3,26,0,0,2,0
3,27,0,0,1,0
3,28,0,1,2,0
3,29,0,0,2,0
3,30,0,0,0,0
3,31,0,0,1,0
3,32,0,0,2,0
3,33,1,1,0,0
3,34,1,1,1,2
3,35,1,1,0,0
3,36,1,0,1,1
3,37,0,0,1,1
3,38,0,0,0,0
3,39,0,0,1,0
3,40,0,0,0,0
3,41,0,0,1,0
3,42,0,0,1,0
3,43,0,0,1,2
3,44,0,0,1,0
3,45,0,1,1,0
3,46,0,0,1,0
3,47,0,0,1,0
3,48,0,0,1,1
3,49,0,0,2,0
3,50,0,0,1,0
3,51,0,0,2,0
4,0,0,0,1,0
4,1,0,0,1,0
4,2,0,0,1,0
4,3,0,1,1,0
4,4,0,0,1,2
4,5,0,0,1,0
4,6,0,0,1,0
4,7,1,1,1,0
4,8,2,2,0,1
4,9,1,1,1,1
4,10,1,0,1,0
